Jurisdiction,Percentage,At or above 400,At or above 475,At or above 550,Above 625,Percentage,At or above 400,At or above 475,At or above 550,Above 625,Percentage,At or above 400,At or above 475,At or above 550,Above 625,Percentage,At or above 400,At or above 475,At or above 550,Above 625
International Average,40,86,65,29,5,35,91,75,43,10,13,89,76,47,14,11,88,72,44,13
Average for Selected Countries,40,94,76,39,9,38,98,89,59,19,11,98,91,70,29,11,96,87,66,27
Australia,45,90,66,29,4,35,97,85,52,12,10,96,87,60,23,11,90,75,48,15
Canada,41,97,80,38,7,39,99,90,57,15,10,99,93,69,24,10,98,89,63,21
England,43,93,74,39,9,35,97,87,60,21,12,98,91,72,32,10,97,92,76,33
Singapore,32,94,80,46,13,40,98,90,66,25,15,98,92,74,36,13,98,90,75,38
United States,42,97,81,45,10,39,98,90,62,20,9,99,93,74,31,10,97,88,67,26
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
