Categories,Factors,Average reading score
Australia,No access to both room and internet,459.9274703
Australia,Access to either room or internet,515.7213447
Australia,Access to both room and internet,534.0883684
Canada,No access to both room and internet,501.0533111
Canada,Access to either room or internet,541.5421249
Canada,Access to both room and internet,551.8815851
England,No access to both room and internet,507.6609397
England,Access to either room or internet,534.8996995
England,Access to both room and internet,559.1800991
International Average,No access to both room and internet,475.0156203
International Average,Access to either room or internet,507.208812
International Average,Access to both room and internet,521.590867
Singapore,No access to both room and internet,495.4629126
Singapore,Access to either room or internet,569.2994142
Singapore,Access to both room and internet,572.9536489
United States,No access to both room and internet,517.8735759
United States,Access to either room or internet,547.3189765
United States,Access to both room and internet,565.1435827
